Begin	End	Name	Symbol	Gene Type
1175427	1176626	lipoprotein release complex - inner membrane subunit	lolC	protein-coding
1176619	1177320	lipoprotein release complex - ATP binding subunit	lolD	protein-coding
1177320	1178564	lipoprotein release complex - inner membrane subunit	lolE	protein-coding
1178593	1179504	N-acetyl-D-glucosamine kinase	nagK	protein-coding
1179520	1180359	protein-lysine deacetylase/desuccinylase/lipoamidase	cobB	protein-coding
1180479	1181267	putative inner membrane protein YcfZ	ycfZ	protein-coding
1181264	1181725	putative inner membrane protein YmfA	ymfA	protein-coding
1181783	1182829	spermidine preferential ABC transporter periplasmic binding protein	potD	protein-coding
1182826	1183620	spermidine preferential ABC transporter membrane subunit PotC	potC	protein-coding
1183617	1184444	spermidine preferential ABC transporter membrane subunit PotB	potB	protein-coding
1184458	1185594	spermidine preferential ABC transporter ATP binding subunit	potA	protein-coding
1185844	1187070	peptidase T	pepT	protein-coding
1187119	1188240	50S ribosomal protein L16-arginine 3-hydroxylase	roxA	protein-coding
1188316	1189776	sensor histidine kinase PhoQ	phoQ	protein-coding
1189776	1190447	DNA-binding transcriptional dual regulator PhoP	phoP	protein-coding
1190616	1191986	adenylosuccinate lyase	purB	protein-coding
1191990	1192631	lysogenization regulator	hflD	protein-coding
1192667	1193773	tRNA-specific 2-thiouridylase	mnmA	protein-coding
1193827	1194288	phosphatase NudJ	nudJ	protein-coding
1194298	1194951	23S rRNA pseudouridine(2457) synthase	rluE	protein-coding
1195123	1196373	isocitrate dehydrogenase	icd	protein-coding
1196711	1196782	small regulatory RNA C0293	C0293	ncRNA
1196867	1197532	putative SAM-dependent methyltransferase YmfD	ymfD	protein-coding
1197533	1198237	uncharacterized protein YmfE	ymfE	protein-coding
1198695	1199588	cell death peptidase Lit	lit	protein-coding
1199679	1200806	putative integrase	intE	protein-coding
1200787	1201032	putative excisionase	xisE	protein-coding
1201069	1201380	putative protein YmfH	ymfH	protein-coding
1201497	1201838	uncharacterized protein YmfI	ymfI	protein-coding
1201776	1202084	uncharacterized protein YmfJ	ymfJ	protein-coding
1202259	1202933	putative repressor protein YmfK	ymfK	protein-coding
1203024	1203224	putative DNA-binding transcriptional regulator YmfT	ymfT	protein-coding
1203268	1203825	uncharacterized protein YmfL	ymfL	protein-coding
1203822	1204160	cell division inhibitor YmfM	ymfM	protein-coding
1204170	1205537	chimeric replication protein/phage terminase YmfN	ymfN	protein-coding
1204170	1204403	uncharacterized gene	oweE	pseudogene
1204401	1205537	uncharacterized gene	aaaE	pseudogene
1205549	1205731	IPR020297 domain-containing protein YmfR	ymfR	protein-coding
1205731	1206204	protein BeeE	beeE	protein-coding
1206131	1206922	uncharacterized gene	jayE	pseudogene
1206913	1207497	DUF2313 domain-containing protein YmfQ	ymfQ	protein-coding
1207501	1208130	protein StfP	ycfK	protein-coding
1208132	1208545	putative tail fiber assembly protein TfaP	tfaP	protein-coding
1208517	1209119	putative tail fiber assembly protein TfaE	tfaE	protein-coding
1209119	1209655	uncharacterized gene	stfE	pseudogene
1209685	1210239	site-specific DNA recombinase	pinE	protein-coding
1210346	1211179	Type IV methyl-directed restriction enzyme EcoKMcrA	mcrA	protein-coding
1211413	1211577	uncharacterized gene	icdC	pseudogene
1211680	1212003	anti-adaptor protein IraM	iraM	protein-coding
1212260	1212304	protein YmgK	ymgK	protein-coding
1212540	1212650	protein YmgL	ymgL	protein-coding
1212703	1213107	DUF1398 domain-containing protein YcgX	ycgX	protein-coding
1213328	1214059	DNA-binding transcriptional repressor BluR	bluR	protein-coding
1214264	1215475	blue light- and temperature-regulated antirepressor BluF	bluF	protein-coding
1215789	1216025	putative two-component system connector protein YcgZ	ycgZ	protein-coding
1216068	1216340	putative two-component system connector protein YmgA	ymgA	protein-coding
1216369	1216635	putative two-component system connector protein AriR	ariR	protein-coding
1216748	1216996	protein YmgC	ymgC	protein-coding
1217328	1218851	putative c-di-GMP phosphodiesterase PdeG	pdeG	protein-coding
1218983	1219201	inner membrane protein YmgF	ymgF	protein-coding
1219601	1222248	uncharacterized gene	ycgH	pseudogene
1222305	1222634	PF16456 family protein YmgD	ymgD	protein-coding
1222644	1222988	PF13436 family protein YmgG	ymgG	protein-coding
1222990	1223163	uncharacterized protein YmgI	ymgI	protein-coding
1223264	1223449	uncharacterized protein YmgJ	ymgJ	protein-coding
1223564	1223907	uncharacterized gene	ycgI	pseudogene
1224279	1224545	Z-ring positioning protein MinE	minE	protein-coding
1224549	1225361	Z-ring positioning protein MinD	minD	protein-coding
1225385	1226080	Z-ring positioning protein MinC	minC	protein-coding
1226600	1226968	PF05666 family protein YcgJ	ycgJ	protein-coding
1227071	1227472	inhibitor of g-type lysozyme	pliG	protein-coding
1227368	1227427	protein YmgN	ymgN	protein-coding
1227681	1228007	PF05166 family protein YcgL	ycgL	protein-coding
1228079	1228738	putative isomerase/hydrolase	ycgM	protein-coding
1228815	1229276	putative metal-chelating domain-containing protein YcgN	ycgN	protein-coding
1229483	1230394	hemolysin E	hlyE	protein-coding
1230767	1231186	DNA polymerase V protein UmuD	umuD	protein-coding
1231186	1232454	DNA polymerase V catalytic protein	umuC	protein-coding
1232500	1233030	protein thiol:quinone oxidoreductase DsbB	dsbB	protein-coding
1233176	1234717	Na(+):H(+) antiporter NhaB	nhaB	protein-coding
1234938	1235657	DNA-binding transcriptional dual regulator FadR	fadR	protein-coding
1235709	1237241	PF04293 family protein YcgB	ycgB	protein-coding
1237571	1238869	D-amino acid dehydrogenase	dadA	protein-coding
1238879	1239949	alanine racemase 2	dadX	protein-coding
1240260	1240463	protein YmgM	ymgM	protein-coding
1240335	1242071	putative K(+):H(+) antiporter	cvrA	protein-coding
1242166	1243080	murein tetrapeptide carboxypeptidase	ldcA	protein-coding
1243180	1243791	lytic murein transglycosylase E	emtA	protein-coding
1243793	1244527	flagellar brake protein YcgR	ycgR	protein-coding
1244728	1244982	PF04226 family protein YmgE	ymgE	protein-coding
1245160	1245600	uncharacterized protein YcgY	ycgY	protein-coding
1245679	1247376	periplasmic trehalase	treA	protein-coding
1247696	1249114	dihydroxyacetone kinase subunit M	dhaM	protein-coding
1249125	1249757	dihydroxyacetone kinase subunit L	dhaL	protein-coding
1249768	1250838	dihydroxyacetone kinase subunit K	dhaK	protein-coding
1251066	1252985	DNA-binding transcriptional dual regulator DhaR	dhaR	protein-coding
1253085	1255952	putative autotransporter adhesin YcgV	ycgV	protein-coding
1256721	1257812	redox-responsive ATPase YchF	ychF	protein-coding
1257929	1258513	peptidyl-tRNA hydrolase	pth	protein-coding
1258791	1259069	stress-induced protein	ychH	protein-coding
1259124	1260803	aerobic C4-dicarboxylate transporter DauA	dauA	protein-coding
1260928	1261875	ribose-phosphate diphosphokinase	prs	protein-coding
1262026	1262877	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE	protein-coding
1262877	1263500	outer membrane lipoprotein LolB	lolB	protein-coding
1263714	1264970	glutamyl-tRNA reductase	hemA	protein-coding
1265012	1266094	peptide chain release factor RF1	prfA	protein-coding
1266094	1266927	protein-(glutamine-N(5)) methyltransferase	prmC	protein-coding
1266924	1267316	SirB family protein YchQ	ychQ	protein-coding
1267320	1268129	transglutaminase-like/TPR repeat-containing protein	ychA	protein-coding
1268165	1269019	3-deoxy-D-manno-octulosonate 8-phosphate synthase	kdsA	protein-coding
1269168	1269275	small toxic polypeptide LdrA	ldrA	protein-coding
1269323	1269389	putative antisense regulatory RNA RdlA	rdlA	ncRNA
1269703	1269810	small toxic polypeptide LdrB	ldrB	protein-coding
1269858	1269923	putative antisense regulatory RNA RdlB	rdlB	ncRNA
1270238	1270345	small toxic polypeptide LdrC	ldrC	protein-coding
1270393	1270460	putative antisense regulatory RNA RdlC	rdlC	ncRNA
1270749	1271849	Na(+)/K(+):H(+) antiporter ChaA	chaA	protein-coding
1272119	1272349	putative cation transport regulator ChaB	chaB	protein-coding
1272507	1273202	glutathione-specific gamma-glutamylcyclotransferase	chaC	protein-coding
1273246	1273599	DsrE/F sulfur relay family protein YchN	ychN	protein-coding
1273784	1275178	putative invasin YchO	ychO	protein-coding
1275179	1275829	DNA-binding transcriptional dual regulator NarL	narL	protein-coding
1275822	1277618	sensor histidine kinase NarX	narX	protein-coding
1277957	1279348	nitrate:nitrite antiporter NarK	narK	protein-coding
1279337	1279520	putative small regulatory RNA NarS	narS	ncRNA
1279864	1283607	nitrate reductase A subunit alpha	narG	protein-coding
1283604	1285142	nitrate reductase A subunit beta	narH	protein-coding
1285139	1285849	nitrate reductase 1 molybdenum cofactor assembly chaperone	narJ	protein-coding
1285849	1286526	nitrate reductase A subunit gamma	narI	protein-coding
1286709	1286984	putative uncharacterized protein YchS	ychS	protein-coding
1287066	1287236	small RNA RttR	rttR	ncRNA
1287087	1287176	protamine-like protein	tpr	protein-coding
1287244	1287328	tRNA-Tyr	tyrV	tRNA
1287538	1287622	tRNA-Tyr	tyrT	tRNA
1287782	1288624	formyltetrahydrofolate deformylase	purU	protein-coding
1288674	1289132	NTF2-like domain-containing protein YchJ	ychJ	protein-coding
1289245	1290150	putative patatin-like phospholipase RssA	rssA	protein-coding
1290242	1291255	regulator of RpoS	rssB	protein-coding
1291457	1292365	UTP--glucose-1-phosphate uridylyltransferase	galU	protein-coding
1292509	1292922	DNA-binding transcriptional dual regulator H-NS	hns	protein-coding
1293527	1294144	thymidine/deoxyuridine kinase	tdk	protein-coding
1294426	1295322	uncharacterized gene	insZ	pseudogene
1295446	1298121	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE	adhE	protein-coding
1298514	1298567	protein YchT	ychT	protein-coding
1298598	1299245	MarC family putative inner membrane protein YchE	ychE	protein-coding
1299567	1300547	IS5 family transposase and trans-activator	insH21	protein-coding
1301182	1302813	oligopeptide ABC transporter periplasmic binding protein	oppA	protein-coding
1302899	1303819	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB	oppB	protein-coding
1303834	1304742	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC	oppC	protein-coding
1304754	1305767	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD	oppD	protein-coding
1305764	1306768	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF	oppF	protein-coding
1306821	1307150	DUF440 domain-containing protein YciU	yciU	protein-coding
1307185	1308645	cardiolipin synthase A	clsA	protein-coding
1308788	1308961	uncharacterized protein YciY	yciY	protein-coding
1309016	1310269	K(+) channel Kch	kch	protein-coding
1310569	1310865	protein YciI	yciI	protein-coding
1311089	1311808	Ton complex subunit TonB	tonB	protein-coding
1311848	1312246	acyl-CoA thioesterase YciA	yciA	protein-coding
1312351	1312890	inner membrane protein	yciB	protein-coding
1312920	1313663	putative inner membrane protein	yciC	protein-coding
1314020	1314658	outer membrane protein W	ompW	protein-coding
1314718	1315224	DUF892 domain-containing protein YciE	yciE	protein-coding
1315270	1315770	DUF892 domain-containing protein YciF	yciF	protein-coding
1315856	1316035	stress-induced bacterial acidophilic repeat motifs-containing protein YciG	yciG	protein-coding
1316416	1317222	tryptophan synthase subunit alpha	trpA	protein-coding
1317222	1318415	tryptophan synthase subunit beta	trpB	protein-coding
1318427	1319788	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	trpC	protein-coding
1319789	1321384	anthranilate synthase subunit TrpD	trpD	protein-coding
1321384	1322946	anthranilate synthase subunit TrpE	trpE	protein-coding
1323038	1323082	trp operon leader peptide	trpL	protein-coding
1323220	1324101	RNase AM	rnm	protein-coding
1324098	1324718	putative RNA-binding protein YciO	yciO	protein-coding
1324746	1326641	DUF2207 domain-containing protein YciQ	yciQ	protein-coding
1326852	1327727	23S rRNA pseudouridine(2605) synthase	rluB	protein-coding
1327767	1328357	cobinamide/cobalamin adenosyltransferase	btuR	protein-coding
1328354	1329112	putative oxidoreductase	yciK	protein-coding
1329332	1330381	S49 peptidase family protein	sohB	protein-coding
1330417	1330668	protein YciN	yciN	protein-coding
1331048	1333645	DNA topoisomerase 1	topA	protein-coding
1333855	1334829	DNA-binding transcriptional dual regulator CysB	cysB	protein-coding
1335148	1335288	uncharacterized protein YmiA	ymiA	protein-coding
1335291	1335458	uncharacterized protein YciX	yciX	protein-coding
1335572	1335667	protein YmiC	ymiC	protein-coding
1335831	1338506	aconitate hydratase 1	acnA	protein-coding
1338570	1339160	GTP cyclohydrolase 2	ribA	protein-coding
1339330	1340094	phosphatidylglycerophosphatase B	pgpB	protein-coding
1340243	1340551	lipopolysaccharide assembly protein A	lapA	protein-coding
1340558	1341727	lipopolysaccharide assembly protein B	lapB	protein-coding
1341921	1342658	orotidine-5'-phosphate decarboxylase	pyrF	protein-coding
1342658	1342984	putative translation factor	yciH	protein-coding
1343110	1343328	osmotically-inducible lipoprotein OsmB	osmB	protein-coding
1343597	1344346	DNA-binding transcriptional dual regulator YciT	yciT	protein-coding
1344436	1344609	UPF0509 family protein YciZ	yciZ	protein-coding
1344647	1344775	protein YmiD	ymiD	protein-coding
1344757	1346742	cyclic di-GMP phosphodiesterase PdeR	pdeR	protein-coding
1346796	1346900	putative protein YmiB	ymiB	protein-coding
1346978	1348912	RNase II	rnb	protein-coding
1348980	1350107	putative peroxidase YciW	yciW	protein-coding
1350251	1351039	enoyl-[acyl-carrier-protein] reductase	fabI	protein-coding
1351407	1351760	DUF559 domain-containing protein YcjD	ycjD	protein-coding
1351828	1352634	putrescine ABC exporter ATP binding protein SapF	sapF	protein-coding
1352636	1353628	putrescine ABC exporter ATP binding protein SapD	sapD	protein-coding
1353628	1354518	putrescine ABC exporter membrane protein SapC	sapC	protein-coding
1354505	1355470	putrescine ABC exporter membrane subunit SapB	sapB	protein-coding
1355467	1357110	putative periplasmic binding protein SapA	sapA	protein-coding
1357423	1357668	DUF2543 domain-containing protein YmjA	ymjA	protein-coding
1357802	1359187	putrescine:H(+) symporter PuuP	puuP	protein-coding
1359177	1359341	protein YmjE	ymjE	protein-coding
1359490	1360908	glutamate-putrescine ligase	puuA	protein-coding
1361120	1361884	gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD	protein-coding
1361911	1362468	DNA-binding transcriptional repressor PuuR	puuR	protein-coding
1362743	1364230	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	puuC	protein-coding
1364232	1365512	gamma-glutamylputrescine oxidase	puuB	protein-coding
1365550	1366815	4-aminobutyrate aminotransferase PuuE	puuE	protein-coding
1366935	1367912	DNA-binding transcriptional dual regulator PspF	pspF	protein-coding
1368079	1368747	phage shock protein A	pspA	protein-coding
1368801	1369025	phage shock protein B	pspB	protein-coding
1369025	1369384	phage shock protein C	pspC	protein-coding
1369393	1369614	phage shock protein D	pspD	protein-coding
1369689	1370003	thiosulfate sulfurtransferase PspE	pspE	protein-coding
1370216	1371895	glucosylglycerate phosphorylase	ycjM	protein-coding
1371909	1373201	putative ABC transporter periplasmic binding protein YcjN	ycjN	protein-coding
1373222	1374103	putative ABC transporter membrane subunit YcjO	ycjO	protein-coding
1374090	1374932	putative ABC transporter membrane subunit YcjP	ycjP	protein-coding
1374963	1376015	D-guloside 3-dehydrogenase	ycjQ	protein-coding
1376034	1376822	3-dehydro-D-guloside 4-epimerase	ycjR	protein-coding
1376832	1377887	D-glucoside 3-dehydrogenase	ycjS	protein-coding
1377884	1380151	kojibiose phosphorylase	ycjT	protein-coding
1380148	1380807	beta-phosphoglucomutase	ycjU	protein-coding
1380821	1381789	uncharacterized gene	ycjV	pseudogene
1381789	1381902	uncharacterized gene	ymjB	pseudogene
1381947	1382852	outer membrane porin G	ompG	protein-coding
1382963	1383961	DNA-binding transcriptional repressor YcjW	ycjW	protein-coding
1384117	1385514	DUF463 domain-containing protein YcjX	ycjX	protein-coding
1385511	1386572	DUF697 domain-containing inner membrane protein YcjF	ycjF	protein-coding
1386720	1388261	DNA-binding transcriptional dual regulator TyrR	tyrR	protein-coding
1388305	1388811	lipid hydroperoxide peroxidase	tpx	protein-coding
1388930	1389895	L-Ala-D/L-Glu epimerase	ycjG	protein-coding
1389870	1390598	murein tripeptide amidase A	mpaA	protein-coding
1390680	1390862	putative uncharacterized protein YmjC	ymjC	protein-coding
1390868	1390933	uncharacterized protein YmjD	ymjD	protein-coding
1390933	1391853	putative hydrolase YcjY	ycjY	protein-coding
1391991	1392890	DNA-binding transcriptional repressor PgrR	pgrR	protein-coding
1393227	1394840	murein tripeptide ABC transporter periplasmic binding protein	mppA	protein-coding
1394891	1395922	small conductance mechanosensitive channel YnaI	ynaI	protein-coding
1396112	1397092	IS5 family transposase and trans-activator	insH4	protein-coding
1397365	1397622	DUF2534 domain-containing protein YnaJ	ynaJ	protein-coding
1397672	1398622	universal stress protein E	uspE	protein-coding
1398774	1399526	DNA-binding transcriptional dual regulator FNR	fnr	protein-coding
1399721	1400236	methylated-DNA--[protein]-cysteine S-methyltransferase	ogt	protein-coding
1400247	1401773	p-aminobenzoyl glutamate:H(+) symporter	abgT	protein-coding
1401810	1403255	p-aminobenzoyl-glutamate hydrolase subunit B	abgB	protein-coding
1403255	1404565	p-aminobenzoyl-glutamate hydrolase subunit A	abgA	protein-coding
1404741	1405649	putative LysR-type DNA-binding transcriptional regulator AbgR	abgR	protein-coding
1405658	1405751	small regulatory RNA McaS	mcaS	ncRNA
1405979	1406542	DNA endonuclease SmrA	smrA	protein-coding
1406563	1407795	diguanylate cyclase DgcM	dgcM	protein-coding
1407989	1408036	protein YnaN	ynaN	protein-coding
1408050	1409033	Zn(2(+)):H(+) symporter	zntB	protein-coding
1409129	1409250	small regulatory RNA FnrS	fnrS	ncRNA
1409308	1409481	protein YnaL	ynaL	protein-coding
1409511	1410884	ATP-dependent RNA helicase DbpA	dbpA	protein-coding
1411013	1411948	tRNA cytosine(32) 2-sulfurtransferase TtcA	ttcA	protein-coding
1412000	1413235	putative integrase	intR	protein-coding
1413237	1413452	excisionase	xisR	protein-coding
1413531	1413740	double-strand break reduction protein	rcbA	protein-coding
1413556	1413734	small regulatory RNA antitoxin RalA	ralA	ncRNA
1413733	1413927	endodeoxyribonuclease toxin RalR	ralR	protein-coding
1413984	1414793	recombinase RecT	recT	protein-coding
1414786	1417386	exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific	recE	protein-coding
1417488	1417763	protein RacC	racC	protein-coding
1417838	1418008	zinc-binding protein	ydaE	protein-coding
1418008	1418229	inhibitor of FtsZ	kilR	protein-coding
1418405	1418502	small RNA KilS	kilS	ncRNA
1418671	1419159	phage superinfection exclusion protein	sieB	protein-coding
1419156	1419311	DUF1391 domain-containing protein YdaF	ydaF	protein-coding
1419322	1419456	uncharacterized protein YdaG	ydaG	protein-coding
1419765	1420241	DNA-binding transcriptional repressor RacR	racR	protein-coding
1420365	1420661	toxin YdaS	ydaS	protein-coding
1420684	1421106	protein YdaT	ydaT	protein-coding
1421119	1421976	DUF1376 domain-containing protein YdaU	ydaU	protein-coding
1421983	1422729	putative ATP-binding protein YdaV	ydaV	protein-coding
1422752	1423312	putative uncharacterized protein YdaW	ydaW	protein-coding
1423345	1423644	uncharacterized gene	rzpR	pseudogene
1423400	1423585	putative prophage outer membrane lipoprotein RzoR	rzoR	protein-coding
1423782	1425239	K(+) transporter TrkG	trkG	protein-coding
1425377	1425640	ParB-like nuclease domain-containing protein YnaK	ynaK	protein-coding
1425621	1425980	putative uncharacterized protein YdaY	ydaY	protein-coding
1426454	1427482	putative prophage tail length tape measure domain-containing protein YnaA	ynaA	protein-coding
1427389	1428984	uncharacterized gene	lomR	pseudogene
1427746	1428726	IS5 family transposase and trans-activator	insH5	protein-coding
1429049	1432411	putative prophage side tail fiber protein StfR	stfR	protein-coding
1432411	1432986	putative tail fiber assembly protein TfaR	tfaR	protein-coding
1433084	1433674	putative site-specific recombinase	pinR	protein-coding
1433991	1434224	uncharacterized protein YnaE	ynaE	protein-coding
1434293	1434406	protein YnaM	ynaM	protein-coding
1434958	1435008	uncharacterized gene	ttcC	pseudogene
1435185	1435619	universal stress protein F	uspF	protein-coding
1435760	1436893	outer membrane porin N	ompN	protein-coding
1437121	1437231	small regulatory RNA MicC	micC	ncRNA
1437260	1440784	putative pyruvate-flavodoxin oxidoreductase	ydbK	protein-coding
1441058	1441324	DUF333 domain-containing protein YdbJ	ydbJ	protein-coding
1441321	1441743	lipoprotein implicated in Novobiocin resistance	hslJ	protein-coding
1441854	1442843	D-lactate dehydrogenase	ldhA	protein-coding
1443051	1445690	putative phospholipid transport factor YdbH	ydbH	protein-coding
1445687	1445872	lipoprotein YnbE	ynbE	protein-coding
1445880	1446206	DUF1318 domain-containing protein YdbL	ydbL	protein-coding
1446378	1447283	DNA-binding transcriptional activator FeaR	feaR	protein-coding
1447519	1449018	phenylacetaldehyde dehydrogenase	feaB	protein-coding
1449076	1451349	copper-containing amine oxidase	tynA	protein-coding
1451597	1453642	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase	paaZ	protein-coding
1453927	1454856	phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit	paaA	protein-coding
1454868	1455155	phenylacetyl-CoA 1,2-epoxidase subunit B	paaB	protein-coding
1455164	1455910	phenylacetyl-CoA 1,2-epoxidase, structural subunit	paaC	protein-coding
1455925	1456422	phenylacetate degradation protein	paaD	protein-coding
1456430	1457500	phenylacetyl-CoA 1,2-epoxidase, reductase subunit	paaE	protein-coding
1457497	1458264	putative 2,3-dehydroadipyl-CoA hydratase	paaF	protein-coding
1458264	1459052	putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	paaG	protein-coding
1459054	1460481	3-hydroxyadipyl-CoA dehydrogenase	paaH	protein-coding
1460471	1460893	phenylacetyl-CoA thioesterase	paaI	protein-coding
1460893	1462098	beta-ketoadipyl-CoA thiolase	paaJ	protein-coding
1462125	1463438	phenylacetate-CoA ligase	paaK	protein-coding
1463539	1464489	DNA-binding transcriptional repressor PaaX	paaX	protein-coding
1464471	1465061	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase	paaY	protein-coding
1465165	1465230	uncharacterized protein YnbG	ynbG	protein-coding
1465392	1474013	uncharacterized gene	ydbA	pseudogene
1467921	1468826	IS2 insertion element protein InsB	insD2	protein-coding
1468784	1469149	IS2 insertion element repressor InsA	insC2	protein-coding
1469358	1470509	IS30 family transposase	insI2	protein-coding
1474221	1475081	pyridoxal reductase	pdxI	protein-coding
1475144	1477450	DUF2773 domain-containing protein YdbD	ydbD	protein-coding
1477621	1478226	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA	ynbA	protein-coding
1478226	1479122	putative CDP-diglyceride synthase	ynbB	protein-coding
1479138	1480895	hydrolase/methyltransferase domain-containing protein YnbC	ynbC	protein-coding
1480909	1482201	phosphatase domain-containing protein YnbD	ynbD	protein-coding
1482255	1482860	FMN dependent NADH:quinone oxidoreductase	azoR	protein-coding
1483061	1486963	ATP-dependent 3'->5' RNA helicase HrpA	hrpA	protein-coding
1487235	1488035	DUF218 domain-containing protein YdcF	ydcF	protein-coding
1488232	1489671	aldehyde dehydrogenase A	aldA	protein-coding
1489713	1490713	uncharacterized gene	gapC	pseudogene
1490902	1491432	superoxide oxidase	cybB	protein-coding
1491442	1491506	small regulatory RNA RydC	rydC	ncRNA
1491677	1491850	protein YdcA	ydcA	protein-coding
1491876	1491944	protein YncP	yncP	protein-coding
1491922	1492071	toxin HokB	hokB	protein-coding
1491962	1492129	putative regulatory protein MokB	mokB	protein-coding
1492119	1492175	putative small regulatory RNA antitoxin SokB	sokB	ncRNA
1492470	1494110	methyl-accepting chemotaxis protein Trg	trg	protein-coding
1494148	1495071	DNA-binding transcriptional dual regulator YdcI	ydcI	protein-coding
1495288	1496631	DUF1338 domain-containing protein YdcJ	ydcJ	protein-coding
1496856	1498511	glucans biosynthesis protein D	opgD	protein-coding
1498651	1498875	DUF465 domain-containing protein YdcH	ydcH	protein-coding
1498938	1499477	ribosomal-protein-L12-serine N-acetyltransferase	rimL	protein-coding
1499469	1500449	putative acyltransferase YdcK	ydcK	protein-coding
1500573	1501565	tellurite resistance protein	tehA	protein-coding
1501562	1502155	tellurite methyltransferase	tehB	protein-coding
1502457	1503125	DUF3313 domain-containing lipoprotein YdcL	ydcL	protein-coding
1503218	1503649	uncharacterized gene	yncK	pseudogene
1503657	1504865	putative RNA-guided DNA endonuclease InsQ	insQ	protein-coding
1504905	1506080	putative transport protein YdcO	ydcO	protein-coding
1506172	1506708	DNA-binding transcriptional dual regulator SutR	sutR	protein-coding
1506781	1508742	23S rRNA 5-hydroxycytidine C2501 synthase	rlhA	protein-coding
1508834	1509064	DUF2554 domain-containing protein YncJ	yncJ	protein-coding
1509286	1509462	mRNA interferase toxin HicA	hicA	protein-coding
1509508	1509924	antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB	hicB	protein-coding
1510003	1511409	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	ydcR	protein-coding
1511654	1512799	putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase	ydcS	protein-coding
1512817	1513830	putative ABC transporter ATP-binding protein YdcT	ydcT	protein-coding
1513831	1514772	putative ABC transporter membrane subunit YdcU	ydcU	protein-coding
1514762	1515556	putative ABC transporter membrane subunit YdcV	ydcV	protein-coding
1515578	1517002	gamma-aminobutyraldehyde dehydrogenase	patD	protein-coding
1517099	1517194	uncharacterized protein YncL	yncL	protein-coding
1517389	1517562	orphan toxin OrtT	ortT	protein-coding
1517648	1517881	DUF2526 domain-containing protein YdcY	ydcY	protein-coding
1517882	1518331	putative inner membrane protein YdcZ	ydcZ	protein-coding
1518328	1518846	L-amino acid N-acyltransferase	mnaT	protein-coding
1519027	1520064	NADPH-dependent curcumin/dihydrocurcumin reductase	curA	protein-coding
1520262	1520927	DNA-binding transcriptional dual regulator McbR	mcbR	protein-coding
1520963	1523065	putative TonB-dependent outer membrane receptor	yncD	protein-coding
1523307	1524368	PQQ-like domain-containing protein YncE	yncE	protein-coding
1524481	1525980	L-asparagine transporter	ansP	protein-coding
1526247	1526864	putative glutathione S-transferase YncG	yncG	protein-coding
1526940	1527152	DUF5445 domain-containing protein YncH	yncH	protein-coding
1527890	1529938	uncharacterized gene	rhsE	pseudogene
1529922	1530404	uncharacterized protein YdcD	ydcD	protein-coding
1530319	1530504	protein YncO	yncO	protein-coding
1530586	1531639	uncharacterized gene	yncI	pseudogene
1531816	1532952	H repeat-associated putative transposase YdcC	ydcC	protein-coding
1533052	1533285	tautomerase PptA	pptA	protein-coding
1533282	1533851	flavin reductase-like protein YddH	yddH	protein-coding
1534024	1534869	arylamine N-acetyltransferase	nhoA	protein-coding
1534965	1535858	PF02567 family protein YddE	yddE	protein-coding
1535937	1536617	nitrate reductase Z subunit gamma	narV	protein-coding
1536614	1537309	NarW, putative private chaperone for NarZ nitrate reductase subunit	narW	protein-coding
1537309	1538853	nitrate reductase Z subunit beta	narY	protein-coding
1538850	1542590	nitrate reductase Z subunit alpha	narZ	protein-coding
1542672	1544060	nitrate/nitrite transporter NarU	narU	protein-coding
1544384	1544719	uncharacterized gene	yddJ	pseudogene
1544758	1545714	leucine-rich repeat domain-containing protein YddK	yddK	protein-coding
1545738	1546028	putative uncharacterized protein YddL	yddL	protein-coding
1546288	1547169	amino acid exporter YddG	yddG	protein-coding
1547401	1550448	formate dehydrogenase N subunit alpha	fdnG	protein-coding
1550461	1551345	formate dehydrogenase N subunit beta	fdnH	protein-coding
1551338	1551991	formate dehydrogenase N subunit gamma	fdnI	protein-coding
1552398	1552682	DNA-binding transcriptional regulator YddM	yddM	protein-coding
1552828	1553838	ethanol dehydrogenase/alcohol dehydrogenase	adhP	protein-coding
